code,name,cityCode,provinceCode,name_norm
110101,东城区,1101,11,东城区
110102,西城区,1101,11,西城区
110105,朝阳区,1101,11,朝阳区
110106,丰台区,1101,11,丰台区
110107,石景山区,1101,11,石景山区
110108,海淀区,1101,11,海淀区
110109,门头沟区,1101,11,门头沟区
110111,房山区,1101,11,房山区
110112,通州区,1101,11,通州区
110113,顺义区,1101,11,顺义区
110114,昌平区,1101,11,昌平区
110115,大兴区,1101,11,大兴区
110116,怀柔区,1101,11,怀柔区
110117,平谷区,1101,11,平谷区
110118,密云区,1101,11,密云区
110119,延庆区,1101,11,延庆区
120101,和平区,1201,12,和平区
120102,河东区,1201,12,河东区
120103,河西区,1201,12,河西区
120104,南开区,1201,12,南开区
120105,河北区,1201,12,河北区
120106,红桥区,1201,12,红桥区
120110,东丽区,1201,12,东丽区
120111,西青区,1201,12,西青区
120112,津南区,1201,12,津南区
120113,北辰区,1201,12,北辰区
120114,武清区,1201,12,武清区
120115,宝坻区,1201,12,宝坻区
120116,滨海新区,1201,12,滨海新区
120117,宁河区,1201,12,宁河区
120118,静海区,1201,12,静海区
120119,蓟州区,1201,12,蓟州区
130102,长安区,1301,13,长安区
130104,桥西区,1301,13,桥西区
130105,新华区,1301,13,新华区
130107,井陉矿区,1301,13,井陉矿区
130108,裕华区,1301,13,裕华区
130109,藁城区,1301,13,藁城区
130110,鹿泉区,1301,13,鹿泉区
130111,栾城区,1301,13,栾城区
130121,井陉县,1301,13,井陉县
130123,正定县,1301,13,正定县
130125,行唐县,1301,13,行唐县
130126,灵寿县,1301,13,灵寿县
130127,高邑县,1301,13,高邑县
130128,深泽县,1301,13,深泽县
130129,赞皇县,1301,13,赞皇县
130130,无极县,1301,13,无极县
130131,平山县,1301,13,平山县
130132,元氏县,1301,13,元氏县
130133,赵县,1301,13,赵县
130171,石家庄高新技术产业开发区,1301,13,石家庄高新技术产业开发区
130172,石家庄循环化工园区,1301,13,石家庄循环化工园区
130181,辛集市,1301,13,辛集市
130183,晋州市,1301,13,晋州市
130184,新乐市,1301,13,新乐市
130202,路南区,1302,13,路南区
130203,路北区,1302,13,路北区
130204,古冶区,1302,13,古冶区
130205,开平区,1302,13,开平区
130207,丰南区,1302,13,丰南区
130208,丰润区,1302,13,丰润区
130209,曹妃甸区,1302,13,曹妃甸区
130224,滦南县,1302,13,滦南县
130225,乐亭县,1302,13,乐亭县
130227,迁西县,1302,13,迁西县
130229,玉田县,1302,13,玉田县
130271,河北唐山芦台经济开发区,1302,13,河北唐山芦台经济开发区
130272,唐山市汉沽管理区,1302,13,唐山市汉沽管理区
130273,唐山高新技术产业开发区,1302,13,唐山高新技术产业开发区
130274,河北唐山海港经济开发区,1302,13,河北唐山海港经济开发区
130281,遵化市,1302,13,遵化市
130283,迁安市,1302,13,迁安市
130284,滦州市,1302,13,滦州市
130302,海港区,1303,13,海港区
130303,山海关区,1303,13,山海关区
130304,北戴河区,1303,13,北戴河区
130306,抚宁区,1303,13,抚宁区
130321,青龙满族自治县,1303,13,青龙满族自治县
130322,昌黎县,1303,13,昌黎县
130324,卢龙县,1303,13,卢龙县
130371,秦皇岛市经济技术开发区,1303,13,秦皇岛市经济技术开发区
130372,北戴河新区,1303,13,北戴河新区
130402,邯山区,1304,13,邯山区
130403,丛台区,1304,13,丛台区
130404,复兴区,1304,13,复兴区
130406,峰峰矿区,1304,13,峰峰矿区
130407,肥乡区,1304,13,肥乡区
130408,永年区,1304,13,永年区
130423,临漳县,1304,13,临漳县
130424,成安县,1304,13,成安县
130425,大名县,1304,13,大名县
130426,涉县,1304,13,涉县
130427,磁县,1304,13,磁县
130430,邱县,1304,13,邱县
130431,鸡泽县,1304,13,鸡泽县
130432,广平县,1304,13,广平县
130433,馆陶县,1304,13,馆陶县
130434,魏县,1304,13,魏县
130435,曲周县,1304,13,曲周县
130471,邯郸经济技术开发区,1304,13,邯郸经济技术开发区
130473,邯郸冀南新区,1304,13,邯郸冀南新区
130481,武安市,1304,13,武安市
130502,桥东区,1305,13,桥东区
130503,桥西区,1305,13,桥西区
130521,邢台县,1305,13,邢台县
130522,临城县,1305,13,临城县
130523,内丘县,1305,13,内丘县
130524,柏乡县,1305,13,柏乡县
130525,隆尧县,1305,13,隆尧县
130526,任县,1305,13,任县
130527,南和县,1305,13,南和县
130528,宁晋县,1305,13,宁晋县
130529,巨鹿县,1305,13,巨鹿县
130530,新河县,1305,13,新河县
130531,广宗县,1305,13,广宗县
130532,平乡县,1305,13,平乡县
130533,威县,1305,13,威县
130534,清河县,1305,13,清河县
130535,临西县,1305,13,临西县
130571,河北邢台经济开发区,1305,13,河北邢台经济开发区
130581,南宫市,1305,13,南宫市
130582,沙河市,1305,13,沙河市
130602,竞秀区,1306,13,竞秀区
130606,莲池区,1306,13,莲池区
130607,满城区,1306,13,满城区
130608,清苑区,1306,13,清苑区
130609,徐水区,1306,13,徐水区
130623,涞水县,1306,13,涞水县
130624,阜平县,1306,13,阜平县
130626,定兴县,1306,13,定兴县
130627,唐县,1306,13,唐县
130628,高阳县,1306,13,高阳县
130629,容城县,1306,13,容城县
130630,涞源县,1306,13,涞源县
130631,望都县,1306,13,望都县
130632,安新县,1306,13,安新县
130633,易县,1306,13,易县
130634,曲阳县,1306,13,曲阳县
130635,蠡县,1306,13,蠡县
130636,顺平县,1306,13,顺平县
130637,博野县,1306,13,博野县
130638,雄县,1306,13,雄县
130671,保定高新技术产业开发区,1306,13,保定高新技术产业开发区
130672,保定白沟新城,1306,13,保定白沟新城
130681,涿州市,1306,13,涿州市
130682,定州市,1306,13,定州市
130683,安国市,1306,13,安国市
130684,高碑店市,1306,13,高碑店市
130702,桥东区,1307,13,桥东区
130703,桥西区,1307,13,桥西区
130705,宣化区,1307,13,宣化区
130706,下花园区,1307,13,下花园区
130708,万全区,1307,13,万全区
130709,崇礼区,1307,13,崇礼区
130722,张北县,1307,13,张北县
130723,康保县,1307,13,康保县
130724,沽源县,1307,13,沽源县
130725,尚义县,1307,13,尚义县
130726,蔚县,1307,13,蔚县
130727,阳原县,1307,13,阳原县
130728,怀安县,1307,13,怀安县
130730,怀来县,1307,13,怀来县
130731,涿鹿县,1307,13,涿鹿县
130732,赤城县,1307,13,赤城县
130771,张家口经济开发区,1307,13,张家口经济开发区
130772,张家口市察北管理区,1307,13,张家口市察北管理区
130773,张家口市塞北管理区,1307,13,张家口市塞北管理区
130802,双桥区,1308,13,双桥区
130803,双滦区,1308,13,双滦区
130804,鹰手营子矿区,1308,13,鹰手营子矿区
130821,承德县,1308,13,承德县
130822,兴隆县,1308,13,兴隆县
130824,滦平县,1308,13,滦平县
130825,隆化县,1308,13,隆化县
130826,丰宁满族自治县,1308,13,丰宁满族自治县
130827,宽城满族自治县,1308,13,宽城满族自治县
130828,围场满族蒙古族自治县,1308,13,围场满族蒙古族自治县
130871,承德高新技术产业开发区,1308,13,承德高新技术产业开发区
130881,平泉市,1308,13,平泉市
130902,新华区,1309,13,新华区
130903,运河区,1309,13,运河区
130921,沧县,1309,13,沧县
130922,青县,1309,13,青县
130923,东光县,1309,13,东光县
130924,海兴县,1309,13,海兴县
130925,盐山县,1309,13,盐山县
130926,肃宁县,1309,13,肃宁县
130927,南皮县,1309,13,南皮县
130928,吴桥县,1309,13,吴桥县
130929,献县,1309,13,献县
130930,孟村回族自治县,1309,13,孟村回族自治县
130971,河北沧州经济开发区,1309,13,河北沧州经济开发区
130972,沧州高新技术产业开发区,1309,13,沧州高新技术产业开发区
130973,沧州渤海新区,1309,13,沧州渤海新区
130981,泊头市,1309,13,泊头市
130982,任丘市,1309,13,任丘市
130983,黄骅市,1309,13,黄骅市
130984,河间市,1309,13,河间市
131002,安次区,1310,13,安次区
131003,广阳区,1310,13,广阳区
131022,固安县,1310,13,固安县
131023,永清县,1310,13,永清县
131024,香河县,1310,13,香河县
131025,大城县,1310,13,大城县
131026,文安县,1310,13,文安县
131028,大厂回族自治县,1310,13,大厂回族自治县
131071,廊坊经济技术开发区,1310,13,廊坊经济技术开发区
131081,霸州市,1310,13,霸州市
131082,三河市,1310,13,三河市
131102,桃城区,1311,13,桃城区
131103,冀州区,1311,13,冀州区
131121,枣强县,1311,13,枣强县
131122,武邑县,1311,13,武邑县
131123,武强县,1311,13,武强县
131124,饶阳县,1311,13,饶阳县
131125,安平县,1311,13,安平县
131126,故城县,1311,13,故城县
131127,景县,1311,13,景县
131128,阜城县,1311,13,阜城县
131171,河北衡水高新技术产业开发区,1311,13,河北衡水高新技术产业开发区
131172,衡水滨湖新区,1311,13,衡水滨湖新区
131182,深州市,1311,13,深州市
140105,小店区,1401,14,小店区
140106,迎泽区,1401,14,迎泽区
140107,杏花岭区,1401,14,杏花岭区
140108,尖草坪区,1401,14,尖草坪区
140109,万柏林区,1401,14,万柏林区
140110,晋源区,1401,14,晋源区
140121,清徐县,1401,14,清徐县
140122,阳曲县,1401,14,阳曲县
140123,娄烦县,1401,14,娄烦县
140171,山西转型综合改革示范区,1401,14,山西转型综合改革示范区
140181,古交市,1401,14,古交市
140212,新荣区,1402,14,新荣区
140213,平城区,1402,14,平城区
140214,云冈区,1402,14,云冈区
140215,云州区,1402,14,云州区
140221,阳高县,1402,14,阳高县
140222,天镇县,1402,14,天镇县
140223,广灵县,1402,14,广灵县
140224,灵丘县,1402,14,灵丘县
140225,浑源县,1402,14,浑源县
140226,左云县,1402,14,左云县
140271,山西大同经济开发区,1402,14,山西大同经济开发区
140302,城区,1403,14,城区
140303,矿区,1403,14,矿区
140311,郊区,1403,14,郊区
140321,平定县,1403,14,平定县
140322,盂县,1403,14,盂县
140403,潞州区,1404,14,潞州区
140404,上党区,1404,14,上党区
140405,屯留区,1404,14,屯留区
140406,潞城区,1404,14,潞城区
140423,襄垣县,1404,14,襄垣县
140425,平顺县,1404,14,平顺县
140426,黎城县,1404,14,黎城县
140427,壶关县,1404,14,壶关县
140428,长子县,1404,14,长子县
140429,武乡县,1404,14,武乡县
140430,沁县,1404,14,沁县
140431,沁源县,1404,14,沁源县
140471,山西长治高新技术产业园区,1404,14,山西长治高新技术产业园区
140502,城区,1405,14,城区
140521,沁水县,1405,14,沁水县
140522,阳城县,1405,14,阳城县
140524,陵川县,1405,14,陵川县
140525,泽州县,1405,14,泽州县
140581,高平市,1405,14,高平市
140602,朔城区,1406,14,朔城区
140603,平鲁区,1406,14,平鲁区
140621,山阴县,1406,14,山阴县
140622,应县,1406,14,应县
140623,右玉县,1406,14,右玉县
140671,山西朔州经济开发区,1406,14,山西朔州经济开发区
140681,怀仁市,1406,14,怀仁市
140702,榆次区,1407,14,榆次区
140721,榆社县,1407,14,榆社县
140722,左权县,1407,14,左权县
140723,和顺县,1407,14,和顺县
140724,昔阳县,1407,14,昔阳县
140725,寿阳县,1407,14,寿阳县
140726,太谷县,1407,14,太谷县
140727,祁县,1407,14,祁县
140728,平遥县,1407,14,平遥县
140729,灵石县,1407,14,灵石县
140781,介休市,1407,14,介休市
140802,盐湖区,1408,14,盐湖区
140821,临猗县,1408,14,临猗县
140822,万荣县,1408,14,万荣县
140823,闻喜县,1408,14,闻喜县
140824,稷山县,1408,14,稷山县
140825,新绛县,1408,14,新绛县
140826,绛县,1408,14,绛县
140827,垣曲县,1408,14,垣曲县
140828,夏县,1408,14,夏县
140829,平陆县,1408,14,平陆县
140830,芮城县,1408,14,芮城县
140881,永济市,1408,14,永济市
140882,河津市,1408,14,河津市
140902,忻府区,1409,14,忻府区
140921,定襄县,1409,14,定襄县
140922,五台县,1409,14,五台县
140923,代县,1409,14,代县
140924,繁峙县,1409,14,繁峙县
140925,宁武县,1409,14,宁武县
